id,nom,description,type
361,Électronique,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur
362,Ingénierie des Systèmes,Formation en conception et gestion de structures civiles,Cycle ingénieur
363,Électronique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur
364,Génie Civil,Formation sur la gestion et l'amélioration des processus industriels,License
365,Ingénierie des Systèmes,Formation sur la gestion des systèmes d'information et leur optimisation,Master
366,Ingénierie des Systèmes,Formation sur la gestion et l'amélioration des processus industriels,License
367,Mécanique,Formation sur la gestion et l'amélioration des processus industriels,Cycle ingénieur
368,Électronique,Formation en conception et gestion de structures civiles,Doctorat
369,Informatique,Formation en développement logiciel et systèmes informatiques,Master
370,Télécommunications,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master
371,Génie Civil,"Formation en conception, fabrication et maintenance de machines",Master
372,Ingénierie Environnementale,Formation en conception et gestion de structures civiles,Doctorat
373,Télécommunications,Formation en conception et gestion de structures civiles,Doctorat
374,Ingénierie Environnementale,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur
375,Génie Civil,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat
376,Ingénierie des Systèmes,"Formation en conception, fabrication et maintenance de machines",License
377,Architecture,Formation en développement logiciel et systèmes informatiques,Cycle ingénieur
378,Télécommunications,"Formation en conception, fabrication et maintenance de machines",License
379,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,Master
380,Génie Industriel,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,License
381,Ingénierie des Systèmes,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat
382,Génie Civil,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur
383,Génie Industriel,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,License
384,Mécanique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Doctorat
385,Ingénierie Environnementale,Formation sur la gestion des systèmes d'information et leur optimisation,License
386,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat
387,Ingénierie des Systèmes,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master
388,Ingénierie Environnementale,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat
389,Électronique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License
390,Ingénierie des Systèmes,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
391,Ingénierie des Systèmes,Formation en développement logiciel et systèmes informatiques,Cycle ingénieur
392,Ingénierie Environnementale,Formation en développement logiciel et systèmes informatiques,Cycle ingénieur
393,Ingénierie Environnementale,"Formation en conception, fabrication et maintenance de machines",Doctorat
394,Informatique,Formation en développement logiciel et systèmes informatiques,Master
395,Ingénierie des Systèmes,Formation sur la gestion et l'amélioration des processus industriels,License
396,Ingénierie des Systèmes,Formation en développement logiciel et systèmes informatiques,Doctorat
397,Télécommunications,Formation sur la gestion des systèmes d'information et leur optimisation,Master
398,Mécanique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur
399,Électronique,"Formation en conception, fabrication et maintenance de machines",Doctorat
400,Architecture,Formation en développement logiciel et systèmes informatiques,License
401,Architecture,Formation sur la gestion et l'amélioration des processus industriels,License
402,Mécanique,"Formation en conception, fabrication et maintenance de machines",License
403,Informatique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Master
404,Architecture,Formation sur la gestion et l'amélioration des processus industriels,Doctorat
405,Télécommunications,"Formation en conception, fabrication et maintenance de machines",Doctorat
406,Architecture,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
407,Télécommunications,Formation en conception et gestion des systèmes électroniques,Master
408,Mécanique,Formation en conception et gestion de structures civiles,Cycle ingénieur
409,Télécommunications,Formation sur la gestion des systèmes d'information et leur optimisation,Master
410,Informatique,Formation sur la gestion des systèmes d'information et leur optimisation,Cycle ingénieur
411,Mécanique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur
412,Télécommunications,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Doctorat
413,Mécanique,Formation en conception et gestion des systèmes électroniques,Doctorat
414,Architecture,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur
415,Architecture,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur
416,Architecture,Formation sur la gestion des systèmes d'information et leur optimisation,License
417,Ingénierie des Systèmes,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur
418,Architecture,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat
419,Informatique,Formation sur la gestion des systèmes d'information et leur optimisation,License
420,Informatique,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat
421,Génie Industriel,Formation en conception et gestion des systèmes électroniques,Doctorat
422,Mécanique,Formation sur la gestion et l'amélioration des processus industriels,License
423,Télécommunications,Formation sur la gestion des systèmes d'information et leur optimisation,License
424,Génie Industriel,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur
425,Électronique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master
426,Ingénierie Environnementale,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur
